Modulo,Proceso,Area,Accion,Problema,Solucion,CausaRaiz,CausaGeneral
"TAR","Listado de Personal","Técnico de Seguridad","Accesos (visualización/plataforma)","El personal sube sus vigencia y documentos de trabajos en alturas y no se ven reflejadas para trabajos permitodos (trabajos en alturas) ""05139306863"" ""81169801766"" ""62876980772"" ""48018264647"" ""02977932155""","""Problema: El usuario jesus.angel@kof.com reporta que varios trabajadores (5 NSS especificados) tienen sus documentos de alturas cargados pero el sistema no los habilita para dicho riesgo.

Causa: Error de captura (User Error). El contratista subió los archivos pero omitió llenar los campos de fechas/vigencia en el formulario, impidiendo la validación automática.

Solución: Se explicó al técnico que el contratista debe ingresar las fechas en los campos correspondientes para que el sistema reconozca la aptitud.""","Datos (información incorrecta)","Incidencias de Usuario"
"TAR","Otro","Contratista","Modificar/editar","Solicitamos su apoyo para modificar la induccion de los colaboradores: Bartolo Bernabe Dimas, Isaac Antonio Luis y Yair Domingo Cruz","Problema: El usuario erika.coprinci@gmail.com solicita modificar la inducción de 3 colaboradores (Bartolo, Isaac, Yair) para corregir certificados.

Causa: Ajuste manual requerido en BD o validación de fotos pendiente.

Solución: Se notificó al usuario que el caso está en revisión para corrección interna. Ticket en proceso (Pendiente de confirmar solución final).","Configuración","Incidencias Técnicas"
"TAR","Listado de Personal","Técnico de Seguridad","Altas/Bajas de personal","La parte contratista tiene dado de alta un personal que ya se había rechazo en plataforma por falta de información, ya completaron el proceso y a ellos en plataforma les aparece pero en mi listado al actualizar no me aparece.","Problema: La usuaria itzel.munoz@kof.com reporta que no visualiza a un trabajador que el contratista ya corrigió (previamente rechazado), aunque el contratista afirma que ya está cargado.

Causa: Posible error de sincronización o estatus no actualizado en la vista del técnico. Pendiente de revisión.

Solución: Se solicitó el Nombre y NSS del trabajador específico para rastrear el registro en la base de datos y validar su estado.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Otro","Técnico de Seguridad","Otro","no se realiza la actividad visualizo que se realiza en septiembre estaba otra compañera de tecnico de seguridad","Problema: La usuaria marcela.maldonado@kof.com reporta un proyecto antiguo (septiembre) de una gestión anterior que nunca se realizó y desea regularizarlo.

Causa: Proyecto obsoleto/No ejecutado (Rezago administrativo).

Solución: Se indicaron los pasos para realizar la ""Solicitud de Baja"" desde el Informe de Control de Proyectos, detonando el flujo de aprobación hacia el Ejecutivo de Seguridad. Se compartió video tutorial.","Eliminación/Baja",""
"TAR","Alta de proyecto","Técnico de Seguridad","Borrar/Eliminar","El proveedor Argoneros subio la OC 5501169840 sin embargo esta no es la orden de compra a ejecutar","Problema:
La orden de compra cargada en el proyecto no corresponde a la orden de compra que se ejecutará.

Causa:
El proveedor cargó una orden de compra incorrecta durante el proceso de Alta de proyecto.

Solución:
Se indicó que es necesario solicitar la baja del proyecto desde el Informe de Control de Proyectos, mediante la opción “Solicitud de Baja”, para que el Ejecutivo de Seguridad valide la solicitud y se pueda continuar posteriormente con el alta correcta del proyecto.","Capacitación","Incidencias de Usuario"
"TAR","Procedimiento Operativo (Alcance )","Contratista","Modificar/editar","Deseo modificar la descripción de los pasos de las actividades primarias de mi proyecto puesto que repeti el titulo en la descripción de actividad y eso es incirrecto en la UO deseo agregar la descripción y pasos que adjunto en el pdf a continuación,","Problema:
El usuario identifica que en el apartado de pasos de la actividad, dentro del alcance del proyecto, se visualiza información repetida y considera que esto impide la continuidad del proceso por parte de Seguridad de la UO.

Causa:
La columna “Primaria” que aparece en el informe es un campo estándar del sistema presente en todas las Unidades Operativas. Su función es mostrar de manera informativa el resumen del paso de la actividad y su estatus para el Técnico de Seguridad, por lo que no corresponde a una duplicidad ni a un error del sistema.

Solución:
Se aclaró al usuario que no es necesario eliminar ni dar de baja el alcance, ya que este se registra una sola vez y su baja eliminaría de forma automática la IPERC y el AST, bloqueando los procesos asociados.
Se indicó que el procedimiento correcto es editar los pasos de las actividades desde el Informe Matriz IPERC (guardando los cambios), así como modificar el alcance, objetivos y herramientas desde la sección de Alcance, sin afectar la continuidad del proceso.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Listado de Personal","Contratista","Modificar/editar","Quiero actualizar documentación IMSS y DC3, pero me sale un recuadro de invalido.","Problema:
Al intentar actualizar la documentación IMSS y DC3, el sistema muestra un mensaje de “inválido” y no permite guardar la información.

Causa:
Existen campos obligatorios identificados con asterisco rojo que no han sido completados.

Solución:
Se indicó al usuario que debe completar todos los campos marcados con asterisco rojo, ya que estos son requeridos para poder guardar la información.
Se le informó que, una vez completados correctamente, el sistema permitirá la actualización de la documentación.
Se dejó abierto el apoyo para cualquier duda adicional durante el proceso.","Capacitación","Incidencias de Usuario"
"TAR","Otro","Técnico de Seguridad","Accesos (visualización/plataforma)","No puedo ingresar a la plataforma desde el enlace habitual","Problemática:
Técnica de Seguridad indica que no puede ingresar a la plataforma utilizando su usuario.

Causa probable:
Olvido de contraseña.

Solución aplicada:
Se envió un correo para el restablecimiento de su contraseña, a fin de que pueda acceder nuevamente a la plataforma con su usuario y contraseña de manera correcta.","Usuario","Incidencias de Usuario"
"TAR","Procedimiento Operativo (Alcance )","Contratista","Borrar/Eliminar","se adjunto un archivo exel erroneo, solicito de su apoyo para la eliminacion del mismo","Problemática:
Se adjuntó un archivo Excel incorrecto y se solicitó el apoyo para su eliminación.

Acción realizada:
Se realizó la eliminación de los archivos adjuntos solicitados en el proceso Procedimiento Operativo (Alcance).","Eliminación/Baja",""
"TAR","Procedimiento Operativo (Alcance )","Contratista","Borrar/Eliminar","se adjunto un archivo exel erroneo, solicito de su apoyo para la eliminacion del mismo","Problemática:
Se adjuntó un archivo Excel incorrecto y se solicitó el apoyo para su eliminación.

Acción realizada:
Se realizó la eliminación de los archivos adjuntos solicitados en el proceso Procedimiento Operativo (Alcance).","Eliminación/Baja",""
"ON Boarding","","Contratista","","Buen día estimado Jorge Alejandro, sirva el presente medio para enviarle un cordial saludo.
solicito de su amable apoye para validar el curso de inducción, ya que al momento de capturar el registro  no se cargo la fotografía del personal.

solicitando su apoyo para validación. me reitero a sus ordenes","Problema: El usuario luis.zepeda@corporativosirn.com solicita validar curso de inducción, ya que no se cargaron las fotos. Adjuntó las evidencias en un archivo Word.

Causa: Formato de archivo incorrecto para la gestión de evidencias (imágenes incrustadas en documento).

Solución: Se solicitó al usuario el envío de las 3 fotografías en formato nativo de imagen (.JPG o .PNG) para poder realizar la carga y validación manual. se obtienen las fotos y se genera su certificado de nuevo","Otros","Otros"
"TAR","Procedimiento Operativo (Alcance )","Contratista","Accesos (visualización/plataforma)","Buena tarde, al personal de seguridad de la unidad operativa Altamira no puede visualizar el procedimiento operativo que se adjunto","Problema: El usuario Ricardo Hernandez (Contratista) reporta que el Técnico de Seguridad en Altamira no puede ver el Procedimiento Operativo que ya adjuntó.

Causa: Bloqueo por flujo secuencial. El Técnico tiene validaciones de personal pendientes, lo que impide ver la siguiente fase (Alcance).

Solución: Se explicó al contratista que el sistema es lineal. Se le instruyó solicitar al Técnico que complete las aprobaciones de personal para desbloquear la vista de los documentos operativos.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Alta de proyecto","Contratista","Borrar/Eliminar","Necesito dar de baja el proyecto con el número 261 de Uruapan ya que no se realizó trabajo de alto riesgo","Problema: El usuario encontacto@mhmh.com.mx solicita dar de baja el proyecto #261 en Uruapan debido a que no se realizaron trabajos de alto riesgo.

Causa: Cancelación de actividades (No TAR).

Solución: Se informó al usuario que la eliminación de proyectos es facultad exclusiva del Técnico de Seguridad. Se le instruyó contactar al técnico y dejar un comentario en la plataforma para trazabilidad.","Capacitación","Incidencias de Usuario"
"TAR","Alta de proyecto","Contratista","Borrar/Eliminar","Necesito dar de baja en proyecto con el numero 262 de Apatzingan ya que no se realizo trabajo de alto riesgo","Problema: El usuario encontacto@mhmh.com.mx solicita dar de baja el proyecto #262 debido a que no se realizaron trabajos de alto riesgo.

Causa: Cancelación de actividades (No TAR).

Solución: Se informó al usuario que la eliminación de proyectos es facultad del Técnico de Seguridad. Se le instruyó contactar al técnico y dejar un comentario en la plataforma justificando la baja para trazabilidad.","Capacitación","Incidencias de Usuario"
"TAR","Procedimiento Operativo (Alcance )","Técnico de Seguridad","Accesos (visualización/plataforma)","No se visualiza el alcance de proyecto, sin embargo el proveedor comenta que ya lo cargo","Problema: La usuaria karla.medina@kof.com no visualiza el ""Alcance de Proyecto"" aunque el contratista ya lo cargó.

Causa: Bloqueo por flujo secuencial. Existen 4 colaboradores pendientes de validación en la etapa anterior (Listado de Personal).

Solución: Se explicó a la Técnico que el sistema es lineal y requiere aprobar a los pendientes para desbloquear la vista del Alcance.","Capacitación","Incidencias de Usuario"
"TAR","Procedimiento Operativo (Alcance )","Contratista","Borrar/Eliminar","eliminar ast en archivo y una imagen que dice html  solo dejar el archivo que dice reporte fotografico de pacifico de favor","---Problema: El usuario arconsindustry@gmail.com solicita eliminar archivos excedentes (""AST"" e ""imagen html"") en la sección de Procedimiento Operativo, dejando solo el ""Reporte fotográfico"".

Causa: Error de carga o archivos basura en la plataforma.

Solución: Se eliminaron manualmente los archivos indicados, dejando únicamente el documento requerido por el usuario.","Eliminación/Baja",""
"TAR","Análisis IPERC / AST","Contratista","Revisión de información ingresada/sistema","Buenas noches, el día de ayer se cargo la información correspondiente a la UO Tamazunchale, para el día de hoy todavía no puedo visualizar la matriz IPERC para continuar con el proceso de cargar la información","---Problema: El usuario rhm_ihesa@yahoo.com.mx reporta que no visualiza la Matriz IPERC a pesar de haber cargado la información previa el día anterior.

Causa: Retraso en la actualización del flujo o caché del navegador.

Solución: Se habilitó/actualizó la vista en el sistema. Se instruyó al usuario refrescar la página (F5) para visualizar los cambios.","Actualización pendiente del Sistema","Incidencias en Procesos/Administrativos"
"TAR","Alta de proyecto","Técnico de Seguridad","Accesos (visualización/plataforma)","no se tiene vizualizacion de los proyectos ni los procesos de los mismos","---Problema: El usuario alberto.lopezp@kof.com (Técnico) reporta pantalla en blanco o falta de visualización de proyectos y procesos en Planta San Juan del Río.

Causa: Falta de permisos o configuración incompleta en el perfil del usuario para la nueva vista.

Solución: Se actualizaron los permisos del usuario en la plataforma. Se le instruyó refrescar la página (F5) y reportar si la incidencia persiste para escalamiento inmediato.","Configuración","Incidencias Técnicas"
"TAR","Documentación General","Técnico de Seguridad","Accesos (visualización/plataforma)","No se visualiza el SUA + el pago del comprobante sin embargo el proveedor ya lo cargo","--Problema: La usuaria karla.medina@kof.com reporta que no visualiza el SUA + Pago, aunque el contratista asegura haberlo subido.

Causa: Error de carga por parte del contratista (no guardó cambios o no subió el archivo). Se verificó en el sistema y el archivo no existe.

Solución: Se envió evidencia (screenshot) de la vista del contratista confirmando que el archivo no está en la plataforma. Se instruyó a la técnico para que solicite la carga nuevamente.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Alta de proyecto","Contratista","Revisión de información ingresada/sistema","He creado un perfil con el correo administracion@litecpuebla.com pero no puedo acceder a ello. Necesito subir documentación de personal.","--Problema: El usuario administracion@litecpuebla.com reporta no poder acceder a su perfil para subir documentación.

Causa: Falta de activación de cuenta Smartsheet y desconocimiento del flujo de alta (Empresa vs Proyecto).

Solución:

Se generó el usuario en Smartsheet y se enviaron instrucciones para crear contraseña y acceso a WorkApps.

Se instruyó al usuario sobre el flujo mandatorio: Primero Alta de Empresa (Documentos Generales) y después Alta de Proyecto, advirtiendo que invertir el orden causa la eliminación automática del proyecto por falta de vinculación.","Capacitación","Incidencias de Usuario"
"TAR","Listado de Personal","Contratista","Borrar/Eliminar","Me apoyan a eliminar el archivo de Dc3 Pérez Chetla Luis Ángel del colaborador Luis Ángel Pérez Chetla","--Problema: El usuario recursos.humanos solicita eliminar el archivo DC3 del colaborador Luis Ángel Pérez Chetla para actualizarlo.

Causa: El usuario continúa solicitando bajas manuales para renovar documentos.

Solución: Se eliminó el archivo solicitado. Se le proporcionó el TIP específico sobre la función de sobrescritura automática (mismo nombre de archivo) para evitar futuros tickets de este tipo.","Eliminación/Baja",""
"TAR","Listado de Personal","Contratista","Borrar/Eliminar","Me apoyan a eliminar el archivo Dc3 Uribe del Real Luis Fernando del colaborador Luis Fernando Uribe","--Problema: El usuario recursos.humanos solicita nuevamente eliminar un archivo DC3 específico (Luis Fernando Uribe) para actualizarlo.

Causa: El usuario persiste en el procedimiento incorrecto (cree que debe borrar para actualizar), desconociendo la función de sobrescritura.

Solución: Se eliminó el archivo solicitado. Se reiteró la instrucción de que la plataforma permite actualizar documentos cargando los nuevos sobre los anteriores sin necesidad de tickets de soporte.","Eliminación/Baja",""
"TAR","Listado de Personal","Técnico de Seguridad","Accesos (visualización/plataforma)","para actualizar la ainfirmacion de Dc-3 de un colaborador no me permite avanza me manda a una pantalla de error","--Problema: El usuario Nalleli.Garcia@abiger.com.mx reporta pantalla de error al intentar actualizar información (DC-3) de un colaborador.

Causa: Problemas de conectividad local (intermitencia) o conflicto de caché en el navegador del usuario.

Solución: Se instruyó al usuario realizar pruebas de conectividad: probar otro navegador, reiniciar WiFi y limpiar caché/cookies. Se proporcionó guía de pasos para borrar caché.","Otros","Otros"
"TAR","Listado de Personal","Contratista","Altas/Bajas de personal","se ha tratado de realizar el alta de personal a la pataforma y nos arroja la leyenda que ha sido registrado previamente. En investigaciones hemos detectado que dicho personal  no ha sido dado de alta en ningun momento y con alguna otra empresa. por lo cual solicitamos el apoyo para poderles dar de alta. anexamos alta al imss de dichas personas","Problema: El usuario chiapasegind@hotmail.com reporta bloqueo al registrar personal (""registrado previamente""), adjuntando evidencia de que son empleados nuevos con su alta IMSS.

Causa: Registros vinculados a empresas anteriores o datos residuales en la BD.

Solución: Se validaron los documentos IMSS adjuntos. Se realizaron los movimientos en la base de datos para desvincular los NSS previos y permitir el nuevo registro.","Duplicidad de registros","Incidencias en Procesos/Administrativos"
"TAR","Listado de Personal","Contratista","Altas/Bajas de personal","no puedo dar de alta al personal en la plataforma ya segui el precedimiento como lo indican  pero me rechaza","Problema: El usuario diegoiccisahernandez@gmail.com no puede registrar al trabajador Misael Martínez Pérez (NSS 16129455263).

Causa: Duplicidad. El trabajador ya existe en la BD ligado a otra razón social.

Solución: Se explicaron dos escenarios:

Si es empleado directo: Se solicitó SUA reciente para realizar la migración de empresa.

Si es subcontratado: Se indicó la ruta correcta (Opción ""Subcontratista"") enfatizando que debe usar el RFC de la empresa titular (DLA190521LL1) para el registro.","Duplicidad de registros","Incidencias en Procesos/Administrativos"
"TAR","Listado de Personal","Contratista","Borrar/Eliminar","Me apoyan con eliminar los documentos dc3 de Luis Fernando Uribe con Nss 14139617311","Problema: El usuario recursos.humanos solicita eliminar documentos DC3 del trabajador Luis Fernando Uribe (NSS 14139617311).

Causa: Necesidad de corrección o actualización de documentos (Desconocimiento de la función de sobrescritura).

Solución: Se eliminaron manualmente los archivos solicitados. Se instruyó al usuario sobre la capacidad del sistema para reemplazar archivos automáticamente sin necesidad de borrarlos previamente.","Eliminación/Baja",""
"TAR","Documentación General","Contratista","Revisión de información ingresada/sistema","Sigue en PENDIENTE mi información anexada y esta completo según requisitos","Problema: El usuario macroquim1@hotmail.com reporta que sus documentos siguen en estatus ""Pendiente"" a pesar de haberlos subido completos.

Causa: Flujo normal de aprobación. El usuario desconoce que ""Pendiente"" requiere la acción del Técnico de Seguridad.

Solución: Se aclaró el significado del estatus. Se envió notificación (CCO) a la lista de contactos de Planta Apizaco para solicitar la revisión de la documentación.","Actualización pendiente del Sistema","Incidencias en Procesos/Administrativos"
"TAR","Listado de Personal","Técnico de Seguridad","Modificar/editar","se realizo el curso de onboarding, pero en el listado de personal no migro, colaborador: HURIBERTO DADO GONZALEZ, NSS: 06169720288","Problema: La usuaria cristina.rodriguez@kof.com reporta que el curso Onboarding de Huriberto Dado Gonzalez no se refleja en el Listado de Personal.

Causa: Error de captura del usuario. El operador se registró en el curso con un RFC/NSS diferente al del sistema TAR, impidiendo la vinculación automática.

Solución: Se corrigieron el RFC y NSS en el registro del curso Onboarding para hacer match con la base de datos de personal. Se notificó la corrección.","Datos (información incorrecta)","Incidencias de Usuario"
"TAR","Análisis IPERC / AST","Técnico de Seguridad","Revisión de información ingresada/sistema","Hay un par de trabajadores que están asignados, tienen habilitado actividades con manejo de quimicos pero en la asignación del ast, aparecen como no aptos para actividades no peligrosas, pero si para actividades con manejo de quimicos. Lo cual no concuerda.","Problema: El usuario federico.calderon@kof.com reporta inconsistencia en aptitudes en el AST (Personal apto para Químicos pero no para actividades generales).

Causa: Falta de captura de datos (Metadata). El contratista subió los archivos DC3 pero no ingresó las fechas de vigencia en el sistema, impidiendo la validación automática.

Solución: Se explicó al Técnico que debe solicitar al contratista la captura manual de las fechas de los cursos para que el sistema actualice los estatus de aptitud.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Análisis IPERC / AST","Contratista","Revisión de información ingresada/sistema","Buenas tardes, por favor me podrian ayudar, ya puedo visualizar mi IPER aprobado pero el encargado de SASSO en planta no puede visualizar la información. Muchas gracias.","Problema:
El encargado de SASSO en planta no podía visualizar la información del análisis IPERC, aun cuando el contratista ya lo tenía aprobado y visible en su módulo.

Causa:
El análisis IPERC se generó correctamente; sin embargo, las columnas de actividad adicional se mostraban primero y el resto de la información quedaba debajo de estas, por lo que no se apreciaba a primera vista.

Solución:
Se realizó una actualización en el sistema para corregir la visualización de las columnas, mostrando ahora la información de manera correcta.
Se solicita por favor actualizar o refrescar el módulo/sesión para que los cambios se vean reflejados.","Consulta informativa","Incidencias en Procesos/Administrativos"
"ON Boarding","","Contratista","","Estuve tratando de aserlo en mi celular el día de ayer y se me trabo muchas veces el internet y cada q se me trababa lo contó cómo intentos echos o enviados me podrían apoyar para poder generar el examen de ingreso y muchas gracias","Problema: El usuario chris200821kailany@gmail.com solicita desbloqueo de examen. Argumenta que fallas de internet en su celular consumieron sus intentos erróneamente.

Causa: Agotamiento de intentos (3/3). El usuario probablemente envió el formulario 3 veces

Solución: Se aclaró que el sistema solo cuenta intentos ""enviados"". Se validó en BD que los 3 intentos fueron consumidos. Se informó sobre la política de bloqueo por 6 meses.","Capacitación","Incidencias de Usuario"
"ON Boarding","","Contratista","","INGRESANDO AL CURSO DE INDUCCION, NO TIENE SONIDO EL VIDEO Y NO VEO LA OPCION DE REGISTRARSE.  LES AGRADECERIA ME INFORMEN CUANDO SE PODRA TOMAR EL CURSO","Problema: El usuario naranjoed@yahoo.com reporta falta de audio en el video y no encuentra la opción de registro. Pregunta disponibilidad del curso.

Causa: Diseño del material (visual/sin audio) y flujo del sistema (el registro aparece al final).

Solución: Se confirmó que el video es mudo. Se explicó que el examen se activa al terminar el video. Se proporcionó el link directo y recomendaciones de conectividad","Consulta informativa","Incidencias en Procesos/Administrativos"
"ON Boarding","","Contratista","","El video no tiene sonido.
No aparece algún lugar para registrarse.","Problema: El usuario rafaelnaranjoruiz@hotmail.com reporta que el video no tiene audio y no encuentra dónde registrarse para el examen.

Causa: El material es visual (sin audio por diseño). El link del examen solo aparece al finalizar el video (condicional).

Solución: Se confirmó que el video es mudo y se debe leer las diapositivas. Se explicó que el examen se activa automáticamente al terminar la reproducción. Se recomendó usar  buena conexión INTERNET.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Documentación General","Técnico de Seguridad","Borrar/Eliminar","Eliminar un documento lo cual tiene una fecha incorrecta el documento esta en recuadro amarillo el documento a eliminar","Problema: El usuario seguridadhebi@yahoo.com (Técnico) solicita eliminar un documento en estatus de revisión (amarillo) debido a una fecha incorrecta.

Causa: Error de captura/carga. Se requiere limpieza del registro para permitir nueva carga correcta.

Solución: Se eliminó manualmente el documento indicado en la plataforma para liberar el campo. Se notificó al usuario.","Eliminación/Baja",""
"TAR","Otro","Técnico de Seguridad","Borrar/Eliminar","No se ejecutaron los trabajos, tampoco se tiene nueva fecha de ejecución.","Problema: El usuario solicita dar de baja un proyecto activo en la plataforma.

Causa: El usuario desconoce el flujo de autogestión para solicitar cancelaciones/bajas (requiere aprobación del Ejecutivo).

Solución: Se instruyó al usuario sobre el procedimiento correcto: debe ingresar a ""Informe de Control de Proyectos"", seleccionar ""Solicitud de Baja"" y justificar el motivo para detonar la validación del Ejecutivo de Seguridad. Se adjuntó video tutorial.","Eliminación/Baja",""
"TAR","Otro","Técnico de Seguridad","Borrar/Eliminar","no se ejecutaron trabajos de alto riesgo (soldadura)","Problema: El usuario solicita dar de baja un proyecto activo en la plataforma.

Causa: El usuario desconoce el flujo de autogestión para solicitar cancelaciones/bajas (requiere aprobación del Ejecutivo).

Solución: Se instruyó al usuario sobre el procedimiento correcto: debe ingresar a ""Informe de Control de Proyectos"", seleccionar ""Solicitud de Baja"" y justificar el motivo para detonar la validación del Ejecutivo de Seguridad. Se adjuntó video tutorial.","Eliminación/Baja",""
"TAR","Listado de Personal","Contratista","Altas/Bajas de personal","Podrían eliminar el bug generado por la eliminación de los siguientes colaboradores: Francisco Simón Pérez NSS 03158838692, Guadalupe Cecilia Sánchez Amado NSS 01027201852, Roberto Salvador Simón NSS 03238310928, María Erika Rodríguez Huerta NSS 14109417262, Anastacio Callejas Salvador NSS 26148766384. RFC NPO000508CP9. Se eliminaron los colaboradores para poder actualizar la información vencida.","Problema: El usuario erika.rodriguez@netpoint.com.mx reporta incapacidad para re-registrar a 5 colaboradores que eliminó previamente (posible bloqueo de NSS).

Causa: Bloqueo temporal del sistema tras la eliminación manual de usuarios por parte del contratista.

Solución: Se realizaron los ajustes internos. Se instruyó al usuario refrescar la página (F5) e intentar el alta nuevamente. Se reiteró que no es necesario borrar para actualizar documentos.","Configuración","Incidencias Técnicas"
"ON Boarding","","Técnico de Seguridad","","Tengo un colaborador del proveedor que nos da servicio de limpieza en la UO Apatzingán. Que realizó el proceso de certificación, pero argumenta que por problemas en su dispositivo móvil (no reproducía el sonido y las letras no las podía ampliar) al realizar los 3 intentos reprobó. Hay forma de habilitar nuevamente el examen, o el procedimiento es repetirlo hasta en 6 meses.
Rangel Cuevas Maria Lucero CURP: RACL911026MMNNVC07","Problema: El usuario federico.calderon@kof.com solicita resetear el examen de certificación para una trabajadora de limpieza (Maria Lucero Rangel) que reprobó 3 veces por problemas técnicos (móvil).

Causa: Política de certificación (3 intentos fallidos = bloqueo temporal).

Solución: Se consultó con administración y se confirmó que no hay excepciones actuales. Se informó al usuario que el tiempo de espera obligatorio es de 6 meses, aunque se está evaluando la política para intendencia a futuro.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Listado de Personal","Técnico de Seguridad","Revisión de información ingresada/sistema","Al validar AST y IPERC del proyecto aparecen los colaboradores asignados como no aptos para actividades NO peligrosas, solo químicos...lo cual pareciera algo ilógico porque el manejo de químicos entra como trabajos de riesgo.","Problema: El usuario federicocalderon121@gmail.com (Técnico) reporta lógica errónea en validación de personal (Aptos para químicos pero no para tareas generales) en AST/IPERC.

Causa: Datos incompletos. Se cargaron los archivos DC3 pero no se capturaron las fechas de vigencia (metadata), impidiendo que el algoritmo valide la aptitud.

Solución: Se explicó que es necesario capturar las fechas manualmente en la plataforma. Tras ello, esperar 1 minuto y refrescar para que el sistema actualice el estatus de aptitud.","Capacitación","Incidencias de Usuario"
"TAR","Listado de Personal","Contratista","Altas/Bajas de personal","Un operativo que fue rechazado, me gustaria darlo de baja pero la plataforma no me lo permite, también la misma problemática con dos pendientes","Problema: El usuario reporta imposibilidad para guardar cambios en fechas de cursos.

Causa: Bloqueo de formulario por campos obligatorios incompletos (falta ""Fecha de Nacimiento"").

Solución: Se instruyó al usuario a llenar los campos marcados con asterisco para habilitar la función de guardado.","Capacitación","Incidencias de Usuario"
"TAR","Listado de Personal","Contratista","Modificar/editar","Un favor, nos pueden apoyar para poder para poder editar al personal Felix Delgado, Jose Antonio Ortega, ya que nos solicitan modificar fechas y agragar unos dc3","Problema: El usuario reporta imposibilidad para guardar cambios en fechas de cursos.

Causa: Bloqueo de formulario por campos obligatorios incompletos (falta ""Fecha de Nacimiento"").

Solución: Se instruyó al usuario a llenar los campos marcados con asterisco para habilitar la función de guardado.

--","Capacitación","Incidencias de Usuario"
"TAR","Otro","Técnico de Seguridad","Borrar/Eliminar","no se ejecutaron trabajos de alto riesgo (soldadura)","Problema: La usuaria cecilia.indo@kof.com (Técnico KOF) informa que no se realizaron los trabajos de alto riesgo (soldadura) en el proyecto OC 233, implicando la necesidad de cancelarlo/cerrarlo.

Causa: Cambio en el alcance o cancelación de las actividades en sitio.

Solución: Se instruyó a la usuaria para que realice la ""Solicitud de Baja"" desde el ""Informe de Control de Proyectos"", explicando que esto detona el flujo de aprobación con el Ejecutivo. Se adjuntó video tutorial.","Eliminación/Baja",""
"TAR","Procedimiento Operativo (Alcance )","Contratista","Otro","al llenar toda la informacion solicitada no me deja enviar el formulario al terminar","Problema: El usuario juancarlos.ara@mapris.com.mx no puede enviar el formulario de Procedimiento Operativo (se traba al final).

Causa: Problema de conectividad (timeout) o caché del navegador del usuario (evidencia en captura).

Solución: Se instruyó al usuario realizar pasos de troubleshooting: Reiniciar WiFi, usar modo Incógnito/Otro navegador y limpiar cookies. Se advirtió sobre el peso de archivos adjuntos.","Consulta informativa","Incidencias en Procesos/Administrativos"
"ON Boarding","","Contratista","","Hola que tal, buenos días.
No puedo pasar el curso de seguridad, ya se agotaron mis intentos 
Quisiera saber si ay otra solución","Problema: La usuaria briseidaalvarez567@gmail.com reporta haber agotado sus intentos en el curso de seguridad y solicita una solución.

Causa: Reprobación de intentos permitidos (Política de certificación).

Solución: Se informó a la usuaria que, según la normativa actual, no hay desbloqueo inmediato y debe cumplir con el periodo de espera de 6 meses para volver a intentarlo.","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Documentación General","Contratista","Accesos (visualización/plataforma)","no visualizan la informacion del imss","Se cierra por falta de respuesta","Consulta informativa","Incidencias en Procesos/Administrativos"
"TAR","Otro","Técnico de Seguridad","Otro","Buena tarde, ayudenme de favor a cargar a mi usuario las UO de Polvorin Y Puente de ixtla. Esto por que mi compañera se encuentra en un periodo vacional y tengo que revisar unos proyectos gracias.","Problema:
El usuario hector.hernandez@kof.com no contaba con acceso a las Unidades Operativas Polvorín y Puente de Ixtla, lo cual impedía la revisión de proyectos durante el periodo vacacional de su compañera.

Causa:
El usuario no tenía asignados los permisos correspondientes a las Unidades Operativas solicitadas dentro de la plataforma.

Solución:
Se autorizó el acceso y se asignaron los permisos necesarios al usuario para las Unidades Operativas Polvorín y Puente de Ixtla, quedando habilitado para la revisión y gestión de los proyectos correspondientes.","Permisos/accesos","Incidencias Técnicas"
"TAR","Alta de proyecto","Contratista","Consultas","Hola, buenas tardes. El Día de ayer realizamos el alta del proyecto y no podemos asociar al colaborador que es nuestro segurista, porque tampoco nos aparece.","Problema: El usuario lmatamoros@sysep.com.mx reporta que no puede asociar a su segurista (Jose Gilberto Carballo) al proyecto porque ""no le aparece"".

Causa: El trabajador ya estaba asociado previamente. Al estar ya vinculado, desaparece de la lista de ""pendientes por asociar"", lo que confundió al usuario.

Solución: Se confirmó que el trabajador (NSS 81169801766) ya está asociado a la OC 5501166252. Se envió captura de pantalla como evidencia y se instruyó actualizar la página (F5).","Capacitación","Incidencias de Usuario"
"TAR","Listado de Personal","Contratista","Revisión de información ingresada/sistema","Hola, buenas tardes ayer realizamos la asociación de colaboradores al proyecto, y aun siguen en pendientes","-Problema: El usuario lmatamoros@sysep.com.mx reporta que sus trabajadores siguen en estatus ""Pendiente"" a pesar de haberlos asociado ayer.

Causa: Flujo normal de aprobación. El estatus ""Pendiente"" indica que falta la validación del Técnico de Seguridad; no es un error del sistema.

Solución: Se confirmó la correcta asociación del trabajador (Jose Gilberto Carballo). Se notificó vía correo (CCO) a los contactos de UO Puebla Sur para solicitar la revisión y desbloqueo del personal.","Consulta informativa","Incidencias en Procesos/Administrativos"
